nama,review,bintang
Redi Setiadi,"Place to be more productive ,creative and innovative, i hope",5
Acul El Bahri,Okekkkkkkk,4
Adhy Purnama,Okkkkkkkkkk,4
Dearman Hasiholan Saragih,Terbaik,5
Thomas Lainsamputty,The best,5
Muhammad Fathurraman,kampus yang bagus untuk belajar,4
Gilang NP Abimanyu,good campus to study,4
Alexander Zulqarnain,Kampus dan Tempatnya Bagus👍,5
Sutiono Lee,Good College and Place👍,5
Kim Rizqon,Ini tempat yang bagus untuk belajar,5
Putra S.T,Its a nice place for study,5
Phoey Smilodon,Kolase Teknik di Jakarta Barat,5
Friendy Aji Prastiyo,Technical collage on west jakarta,5
Wiwit Widya Pangestika,Anda dapat melakukan semuanya di sini,5
hadi. saputra,You can do everything here,5
jefriadi siregar,Saya menghabiskan 4 tahun di tempat ini,5
Wahyu tri Handoko,I spent 4 years in this place,5
Shaquilla Amanda,Muantabs,1
Bayu Samodro,Muantabss,1
Noak Bunai,Oh,5
Fawg Ugh,Oo,5
Sogir,Terbaik,5
M. Fasrul Fais Ilman,The Best,5
HAEDIR MAULANA,Mantap,5
Lala Chessa,Mantaap,5
sangadevirafika lumbanbatu,Tempat yang indah di malam hari,5
Afri Fernando,Wonderful place in the night,5
Hamka Menka,Bagus,5
Gracia Agustina Sinaga,Nice,5
widyawati73 arios,Tidak,5
Linda Fattah,Ntaps,5
Heldina Togatorop,Oke,5
muhammad thufail,Ok,5
Hanung Indah DA,Saya harap saya bisa di sini,5
Titan Muslimah,I Hope I can here,5
Muhammad Salman,Bagus,4
Ncek Fikri,Good,4
Eveline Raiwaki,"Hm,,,,",5
Ervah Riana,Terburuk,5
Alfath Auliya,Worst,5
Iqbal Rasyid,Ya,5
Yeni Rinawati,Yeah,5
Ismy Ismyalya,Sampai jumpa STTPLN,5
Arief Rahmadani,See u STTPLN,5
Zena Naufal,Elektrooo....,5
ariff muji,,5
Achmad Soebchan,,5
Arul Ramadhan,,5
VItho Febrian,,5
Sh Lll,,5
balqis 88,,5
Ariana Dwi Suryaningtyas,,5
Yohanes Alvin,,5
Atha,,5
Kagami,,5
Deddy,,4
Adenovi Aryanto,,4
yudha pertiwi,,3
Raihan Faiz,,3
irfan shoepy zi,,5
Ariman,,5
zidan syahid,,5
Angel Natassya,,5
kiki rizky,,5
Vincent Sihaloho,,5
Awra Syaida Athari,,5
Japar Siringoringo 16,,5
Ananda Pratama S.,,5
wahyu satrio,,5
Agung Untoro,,5
Noky Quinn,,5
Franklin Delano,,5
timotius siekelta,,5
